task_type,m1_1,m2_1,m3_1
T1,7.103,4.574,12.433
T3,8.052,8.998,8.248
T3,8.375,8.519,8.334
T4,6.483,6.766,8.37
T3,7.4,8.399,8.814
T2,4.991,7.537,9.965
T2,4.813,8.443,10.374
T4,5.611,7.374,8.299
T2,4.925,7.354,10.861
T3,7.8,9.191,8.927
T3,7.665,8.644,8.268
T4,6.113,7.012,8.655
T3,7.386,8.761,8.294
T2,4.969,8.479,9.958
T3,8.605,9.732,8.875
T1,7.344,4.964,12.173
T3,8.458,8.757,8.386
T4,5.762,6.524,8.041
T2,4.868,8.402,10.037
T2,4.97,7.988,10.51
T1,6.488,4.667,12.152
T2,4.765,8.447,9.393
T4,5.587,6.566,8.134
T1,6.667,4.875,12.089
T1,7.113,4.871,11.471
T2,4.869,8.656,9.717
T3,8.139,9.114,9.073
T2,5.184,7.818,9.386
T3,7.489,8.508,8.388
T3,8.606,8.506,8.566
T4,6.136,6.606,8.539
T4,6.141,7.369,8.593
T2,4.628,7.35,10.639
T2,5.001,8.58,9.367
T4,6.373,7.572,8.252
T2,5.295,7.328,9.75
T2,5.133,7.593,10.48
T3,8.393,8.294,9.028
T1,6.73,4.952,12.471
T4,6.154,6.722,8.477
T1,7.151,5.005,12.285
T2,5.222,7.804,10.483
T2,5.256,7.634,10.475
T1,7.215,4.745,12.219
T2,5.338,8.172,9.991
T4,5.93,7.485,8.053
T4,5.972,7.453,7.436
T4,6.026,6.531,7.972
T4,6.318,7.461,8.175
T4,5.626,6.825,8.197
T1,6.396,4.704,12.033
T1,7.6,5.044,12.601
T4,6.31,7.328,8.327
T1,7.544,5.282,11.054
T1,6.514,4.584,12.538
T4,6.344,6.517,7.655
T1,6.959,5.387,12.399
T1,6.502,4.903,12.155
T1,7.003,5.414,12.589
T1,6.784,5.334,12.487
T1,6.593,4.989,12.275
T1,6.503,5.227,12.799
T1,6.418,4.834,12.609
T1,7.43,5.184,12.838
T1,7.457,4.599,12.018
T1,6.661,5.194,12.472
T1,6.912,5.332,12.012
T1,6.91,4.74,11.937
T1,7.223,4.645,11.078
T1,6.975,5.311,11.444
